phase,eof,term,legacy,corrected,diff
mature,3,∂Ae/∂t (finite diff.),0.220459,-0.0213035,-0.241763
mature,3,∂Kz/∂t (finite diff.),0.573811,0.451773,-0.122037
mature,3,∂Ke/∂t (finite diff.),-0.0121052,-0.303668,-0.291563
mature,3,RGz,0.242753,0.532716,0.289962
mature,3,RKz,0.575372,0.463403,-0.111969
mature,3,RGe,0.0282524,-0.436966,-0.465218
mature,3,RKe,0.116016,0.244061,0.128045
mature,4,Az,0.723276,0.381541,-0.341735
mature,4,Ae,-0.0915959,-0.0297253,0.0618706
mature,4,Kz,0.524093,0.218802,-0.305291
mature,4,Ke,-0.401113,-0.226067,0.175046
mature,4,Cz,-0.281625,-0.164904,0.116721
mature,4,Ca,0.0844286,-0.0260558,-0.110484
mature,4,Ck,0.143742,0.60555,0.461808
mature,4,Ce,0.0712094,0.27276,0.20155
mature,4,Gz,-0.483028,-0.218987,0.264041
mature,4,Ge,-0.114392,0.311504,0.425897
mature,4,BAz,0.126165,0.142757,0.0165927
mature,4,BAe,0.46509,0.504407,0.0393169
mature,4,BKz,0.099688,-0.214112,-0.3138
mature,4,BKe,0.0955412,0.489686,0.394145
mature,4,BΦZ,-0.0249543,0.185214,0.210168
mature,4,BΦE,-0.0907669,0.319581,0.410348
mature,4,∂Az/∂t (finite diff.),-0.0504662,0.108826,0.159292
mature,4,∂Ae/∂t (finite diff.),0.45012,0.438359,-0.011761
mature,4,∂Kz/∂t (finite diff.),0.328017,0.547593,0.219575
mature,4,∂Ke/∂t (finite diff.),0.0838497,0.0768469,-0.0070028
