scope,eof,version,term,loading
intensification,5,before,BAe,0.26423499
intensification,5,after,BAe,0.44081437
intensification,5,before,BKz,-0.0062701358
intensification,5,after,BKz,-0.067901423
intensification,5,before,BKe,-0.34226727
intensification,5,after,BKe,0.019347356
intensification,5,before,BΦZ,0.17831393
intensification,5,after,BΦZ,-0.034528992
intensification,5,before,BΦE,0.097504803
intensification,5,after,BΦE,0.37087602
intensification,5,before,Gz,0.64130875
intensification,5,after,Gz,0.56867941
intensification,5,before,Ge,0.1217955
intensification,5,after,Ge,0.30863125
intensification,5,before,∂Az/∂t (finite diff.),-0.28971073
intensification,5,after,∂Az/∂t (finite diff.),-0.078640688
intensification,5,before,∂Ae/∂t (finite diff.),-0.054031986
intensification,5,after,∂Ae/∂t (finite diff.),0.43501806
intensification,5,before,∂Kz/∂t (finite diff.),-0.32496799
intensification,5,after,∂Kz/∂t (finite diff.),0.012482339
intensification,5,before,∂Ke/∂t (finite diff.),0.14104721
intensification,5,after,∂Ke/∂t (finite diff.),0.41820592
intensification,5,before,RGz,0.12609264
intensification,5,after,RGz,0.15547707
intensification,5,before,RKz,-0.13965421
intensification,5,after,RKz,-0.036685929
intensification,5,before,RGe,-0.12832549
intensification,5,after,RGe,-0.0017671392
intensification,5,before,RKe,0.12563327
intensification,5,after,RKe,0.14394977
intensification,6,before,Az,0.030537992
intensification,6,after,Az,0.14757801
intensification,6,before,Ae,-0.10315005
intensification,6,after,Ae,-0.39877626
intensification,6,before,Kz,0.070599917
intensification,6,after,Kz,-0.061362739
intensification,6,before,Ke,-0.15461867
intensification,6,after,Ke,-0.23484686
intensification,6,before,Cz,0.14371873
intensification,6,after,Cz,-0.17415215
intensification,6,before,Ca,-0.17753521
intensification,6,after,Ca,-0.15729824
intensification,6,before,Ck,0.62053137
intensification,6,after,Ck,0.58051127
intensification,6,before,Ce,0.11565318
intensification,6,after,Ce,-0.00922711
intensification,6,before,BAz,0.16628586
intensification,6,after,BAz,0.2489323
intensification,6,before,BAe,0.34046588
intensification,6,after,BAe,-0.12615439
intensification,6,before,BKz,-0.10693496
intensification,6,after,BKz,-0.078935084
intensification,6,before,BKe,0.51511301
intensification,6,after,BKe,0.36106763
intensification,6,before,BΦZ,-0.10432393
intensification,6,after,BΦZ,0.13502677
intensification,6,before,BΦE,-0.044442972
intensification,6,after,BΦE,0.15850708
intensification,6,before,Gz,0.26930664
intensification,6,after,Gz,-0.24593826
intensification,6,before,Ge,0.28193203
intensification,6,after,Ge,0.15919118
intensification,6,before,∂Az/∂t (finite diff.),0.069510056
intensification,6,after,∂Az/∂t (finite diff.),0.20605017
intensification,6,before,∂Ae/∂t (finite diff.),0.43656726
intensification,6,after,∂Ae/∂t (finite diff.),0.32939382
intensification,6,before,∂Kz/∂t (finite diff.),0.25915034
intensification,6,after,∂Kz/∂t (finite diff.),0.37086572
intensification,6,before,∂Ke/∂t (finite diff.),0.20601232
intensification,6,after,∂Ke/∂t (finite diff.),-0.083615914
intensification,6,before,RGz,-0.072983256
intensification,6,after,RGz,-0.42713246
intensification,6,before,RKz,0.031027046
intensification,6,after,RKz,0.092254632
intensification,6,before,RGe,0.030513665
intensification,6,after,RGe,0.45903342
intensification,6,before,RKe,0.034056531
intensification,6,after,RKe,0.084509583
intensification,7,before,Az,0.13087089
intensification,7,after,Az,-0.089338567
intensification,7,before,Ae,0.093549769
intensification,7,after,Ae,-0.04186032
intensification,7,before,Kz,0.0023053161
intensification,7,after,Kz,-0.294189
intensification,7,before,Ke,0.22600148
intensification,7,after,Ke,0.099217048
intensification,7,before,Cz,-0.14787441
