track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
20150827,after,3.026245,1.0293274,1.8183976,-0.60319572,1.6267201,0.17602212,2.3055504,-1.0012492
20150829,after,-0.004011956,-0.050646128,0.55019699,-0.82094891,1.3509529,-0.51859595,1.1921298,1.3117566
20150836,after,0.69506582,1.559672,0.83021797,1.878431,-0.14040049,3.0859148,-0.90648819,-0.01942858
20150843,after,1.7126017,-1.8801125,-1.7544833,4.0315426,0.92406685,2.2113646,0.0014604933,-4.0940806
20150871,after,2.0465226,-1.1778147,0.26866718,0.24553791,1.6858631,2.9318975,0.95464391,1.21029
20150880,after,0.23562176,0.31549835,-0.065332305,-0.53054953,0.034243943,1.4741517,0.29389065,0.19024141
20150890,after,0.54149313,0.79023007,-0.09210439,1.1582988,-0.20094611,0.63069018,0.076744878,-2.006882
20150908,after,-0.63430767,1.614914,-0.68467326,0.33237148,0.51192261,1.4858575,-0.18623718,-0.79249123
20150942,after,-0.96351295,-0.30348512,0.48351337,0.77454099,0.36862073,-0.29363932,1.5661923,-3.7224218
20150953,after,0.74892165,-0.27532233,1.0023439,-0.36993572,0.56153024,-0.16505242,-0.22533886,-1.0313898
20150984,after,-0.4131751,0.07111568,-0.25028123,0.64349815,-0.14791815,0.78392317,-0.29374528,0.27050856
20150992,after,-0.2701395,0.11519414,-0.63885305,2.1936179,-0.72104026,0.842754,0.29652021,-0.56444389
20151026,after,-0.58970475,0.10746775,-0.69630593,-0.49460902,0.32430492,0.55920711,-0.21134707,-0.24020759
20151030,after,-0.72415518,0.39841443,0.77376965,0.34567311,-0.050871389,-0.1767748,0.29877381,-0.29097923
20151045,after,0.8608958,1.1534227,0.28799862,0.52454431,1.7782674,0.13037269,0.59957435,-0.43922428
20151050,after,1.1576102,-0.10725078,0.98548951,-0.34038294,-0.2521012,0.57680724,-0.21162493,-0.27980447
20151054,after,-0.53689255,-0.25200812,-0.63009701,-0.70457127,0.50483077,-0.39706962,-0.30750986,0.29139859
20151076,after,-0.99261571,0.17801045,-0.44330353,0.11923776,-0.19964944,-0.69075821,-0.28279008,-0.14947695
20151116,after,-0.37844187,0.55045766,-0.76294645,-0.28038571,0.014133673,0.64368872,-0.49593827,0.26759958
20151119,after,-0.1035654,-2.0291589,0.71483637,1.1218851,0.49607109,0.97938455,-1.3003254,-0.70556053
20151123,after,-0.47364634,0.66201204,-0.83886982,-0.051729248,0.45138726,-0.40663021,-0.26547069,-0.20165937
20151130,after,0.57404288,-0.47946391,0.60802316,0.098275226,-0.79951916,-0.74099551,-0.57826286,0.055319534
20151136,after,0.21888625,1.9413263,-0.78150649,0.068066557,3.0377931,-0.6690842,1.7757442,-0.20524398
20151141,after,-0.91434785,0.7574956,-0.82471656,-0.16479804,0.776542,-1.2304446,-0.02864296,0.25542314
20151143,after,2.0946209,1.8605442,-0.84096104,1.8195264,2.7403648,0.063739841,-0.045100011,0.40779795
20151148,after,-0.75244528,-0.303814,-0.42077227,0.50192282,1.1979441,2.7371751,-0.5088809,0.85698357
20151160,after,-1.1672164,0.3895716,-0.2855967,0.1177028,-0.33216281,0.43056026,-0.17020935,0.1605201
20151170,after,-0.73209342,0.72950999,0.81800496,2.8555205,-0.74435272,0.23287732,0.31153897,0.5364682
20151175,after,-0.58404163,1.2982179,-0.48086506,3.1069286,-0.98744115,1.4230337,0.10454883,0.47095901
20151178,after,-0.17680941,-0.2119225,0.92886483,-0.26515429,0.15576566,-0.66119599,0.68382919,-1.330078
20160006,after,-1.1414769,-0.093383392,0.059748427,0.19141712,0.59570167,0.20117676,0.88569802,-0.55087778
20160030,after,1.4409008,-0.1387112,-0.86527846,0.089246085,-1.8927465,-0.023099582,-1.3699356,0.17710983
20160051,after,-0.26098619,0.33862734,-0.034036843,-0.39638835,-0.1744753,-0.29181615,-0.71087709,-0.22789314
20160080,after,-0.55025917,0.58785884,-0.79715472,-0.74639315,-0.090447719,-0.26175133,0.75515446,1.2518577
20160102,after,-0.99620856,0.8612627,-1.5917512,-0.20823518,0.13076483,2.0648406,-0.14805363,-0.18481703
20160104,after,-0.19643302,-0.19144374,0.034603771,-0.175607,1.1401561,0.4448193,0.57915739,0.6140214
20160127,after,0.56372536,-0.31923966,-0.56594587,-0.048008082,-0.10821569,-0.28018044,-2.0955315,0.20478315
20160132,after,-1.1085319,0.53633224,-0.87630224,-0.69030731,0.061571277,-0.55809226,-0.2704589,0.31225479
20160139,after,0.44378867,-0.95865061,-0.14841861,-0.82832036,0.24771539,-0.26932766,-1.3298373,0.17057946
20160145,after,-0.84519028,0.45008657,-1.162871,-0.68832715,0.38140985,-0.94635076,-0.026643065,0.065035153
20160161,after,0.64460258,1.0419827,0.018436541,0.028868146,0.12612253,-1.2404075,0.17666785,-0.89384203
20160162,after,-0.40516494,0.47684655,-0.60595558,0.57081357,-0.70411411,0.17792682,-0.38483182,-0.48465331
20160176,after,-0.5140111,-0.33617923,-0.5363529,-0.82761235,0.81266919,0.39015284,0.53892543,0.14835083
20160186,after,-0.71455139,0.57952866,-0.76611978,-0.78315835,-0.25132248,-0.37458613,-0.12541423,0.25276986
20160199,after,0.93267964,-0.38716533,-1.6273392,0.08010236,1.474794,-1.1211547,0.73353138,-0.5878682
20160232,after,-0.41282939,-0.18155709,-1.4804501,-0.2162059,-0.22503843,0.48748733,0.74492514,-0.5247907
20160253,after,0.55593561,-0.1470684,-0.90621689,-1.5236176,1.0043313,-0.29838653,-3.7259012,-1.2903078
20160288,after,-1.0860454,0.90391165,-0.37516376,-0.17460941,-0.025292502,0.70604057,-0.20767724,0.8807351
20160315,after,-1.071902,-0.49950053,-1.0310374,-0.42197641,0.97383166,0.34324754,0.94885044,0.71956854
20160317,after,-0.044559091,0.15693209,0.46780341,-0.17262692,-0.50792586,1.0494979,0.96172329,1.6655322
20160330,after,-0.65453688,0.25628822,0.28314812,1.6844055,-0.56039988,-0.90222929,0.27522386,-0.24461309
20160336,after,0.051824672,1.5281144,1.1397736,-0.52941463,0.54189903,-0.37037582,-0.12861341,1.2940322
20160337,after,0.76226814,0.41875737,0.45066127,0.5861646,0.68047101,-0.66342119,-0.62346803,-0.080181426
20160404,after,0.33396726,0.86749373,0.75679113,-0.86058478,0.65102498,-0.15390067,1.3878668,-0.67965086
20160411,after,0.8045608,0.18053904,-0.80634234,2.4944826,0.0086726637,-1.0063789,0.096283039,-0.04411431
20160414,after,0.71802683,-0.86359795,0.54855526,0.54266505,0.19899237,-0.347067,1.2524244,-0.384467
20160443,after,-0.77973386,1.5965851,-0.89048693,0.78664322,-0.23398858,0.26195805,-0.43862312,0.20176537
20160453,after,-0.88698169,0.14442914,-0.67382826,-0.48007492,0.52649729,-0.48499535,-0.58451546,-0.062604317
20160486,after,0.65810418,0.77131274,0.57007402,0.12712001,-0.82862787,0.082385781,-0.16054325,-0.80533621
20160487,after,-0.53964506,-0.11278595,-0.71992949,-0.54642038,0.5628348,-0.028413206,-0.22994745,0.95279161
20160490,after,-0.08617935,1.7918846,1.3657816,-0.1382958,-1.0025902,0.66837467,-0.11114536,0.17118771
20160498,after,-0.31933776,0.36423605,0.012746199,-0.61360089,-0.30937245,-0.68843315,-0.59230999,0.30437423
20160523,after,-0.60660001,0.056132741,-0.3750565,-0.099850255,0.26435572,-0.70118331,-0.12669287,0.21498591
20160527,after,0.092138583,1.0175444,-0.098225956,-0.66958944,-0.78855655,-1.4618375,-0.18819229,0.42410016
20160539,after,-1.2126193,-0.020688662,-0.92714969,-0.36244503,-0.25363959,-0.55908307,0.30836464,0.46740428
20160555,after,-0.24051301,0.52654466,-0.92769791,-1.3017164,-1.3723693,-0.19419418,-0.36710669,0.4557523
20160579,after,-0.62922501,-0.70211834,0.55766975,1.0925395,0.19885678,0.0049183514,0.50624442,-0.55230893
20160587,after,1.9441068,-0.97403876,-1.6142139,0.42641023,2.0484896,-0.41368097,1.2078604,-2.087558
20160599,after,-0.47972485,-0.35031858,0.88410407,1.8119354,-0.29922826,0.46733018,0.66900427,-0.78270456
20160609,after,-0.89540135,1.0146365,-0.4152294,-0.76860223,-0.016954654,0.19771933,0.23013247,0.14519067
20160610,after,-0.28399412,0.21411324,0.26760198,0.96693168,0.59012226,-1.492415,0.72872238,-0.33136819
20160644,after,0.17628108,0.33755843,-0.13938793,-0.79243766,1.0073249,-0.5337323,0.17609899,0.37266094
20160647,after,-0.42229336,0.47343146,-0.14218341,-0.68886838,0.24009601,-0.40339238,-0.76017094,1.0015212
20160649,after,-0.91302647,-0.23456941,0.021100151,-0.097321905,0.26955912,-0.64107138,-0.57993133,0.18782628
